FiscalYear,FiscalQuarter,Department,Branch,BudgetedHeadcount,AllocatedSalaryBudget_EGP,OvertimeAllowance_EGP
2022,Q4,خدمة العملاء والعمليات المساندة,فرع الدقي,56,2138808,244340.36
2022,Q4,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,52,2414568,280103.49
2022,Q4,خدمة العملاء والعمليات المساندة,المنصورة,38,1623588,81499.11
2022,Q4,خدمة العملاء والعمليات المساندة,الغربية - طنطا,73,2048526,113547.56
2022,Q4,خدمة العملاء والعمليات المساندة,القاهرة - التجمع الخامس,78,2571192,276280.99
2022,Q4,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,69,2218212,129380.24
2022,Q4,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,80,3535920,418003.14
2022,Q4,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,67,1830507,212635.88
2022,Q4,خدمة العملاء والعمليات المساندة,بورسعيد - الشرق,25,1041000,115666.62
2022,Q4,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,70,3431190,293797.45
2023,Q1,الإدارة المالية,أسيوط - أسيوط الجديدة,54,2359368,187078.4
2023,Q1,الإدارة المالية,سموحة,78,2590848,157371.58
2023,Q1,الإدارة المالية,الإسكندرية - لوران,28,761628,61023.04
2023,Q1,الإدارة المالية,الجيزة - 6 أكتوبر,29,972660,66057.28
2023,Q1,الإدارة المالية,الجيزة - الدقي,24,713952,41468.4
2023,Q1,الإدارة المالية,الجيزة - الشيخ زايد,18,891864,102662.43
2023,Q1,الإدارة المالية,المنصورة,58,1642386,129279.93
2023,Q1,الإدارة المالية,الغربية - طنطا,61,2348622,195580.12
2023,Q1,الإدارة المالية,التجمع,18,523260,42316.88
2023,Q1,الإدارة المالية,القاهرة - القرية الذكية,59,1721856,110743.73
2023,Q1,الإدارة المالية,فرع المعادي,59,1661322,97080.04
2023,Q1,الإدارة المالية,القاهرة - مصر الجديدة,24,940536,51957.78
2023,Q1,الإدارة المالية,بورسعيد - الشرق,37,1265178,88795.75
2023,Q1,الإدارة المالية,دمياط - دمياط الجديدة,79,3446454,178142.89
2023,Q1,التسويق والمبيعات,أسيوط - أسيوط الجديدة,55,1730850,107004.35
2023,Q1,التسويق والمبيعات,سموحة,70,3431400,208153.18
2023,Q1,التسويق والمبيعات,الإسكندرية - لوران,66,3369168,326708.74
2023,Q1,التسويق والمبيعات,الجيزة - 6 أكتوبر,58,2896230,202564.63
2023,Q1,التسويق والمبيعات,الدقي,44,1291620,147224.3
2023,Q1,التسويق والمبيعات,الجيزة - الشيخ زايد,22,1050720,63266.9
2023,Q1,التسويق والمبيعات,الدقهلية - المنصورة,26,917514,80630.25
2023,Q1,التسويق والمبيعات,الغربية - طنطا,19,608304,49771.32
2023,Q1,التسويق والمبيعات,القاهرة - التجمع الخامس,79,2463141,272500.47
2023,Q1,التسويق والمبيعات,القاهرة - القرية الذكية,59,2538888,269326.2
2023,Q1,التسويق والمبيعات,فرع المعادي,69,3380517,383487.36
2023,Q1,التسويق والمبيعات,القاهرة - مصر الجديدة,69,2099394,227607.05
2023,Q1,التسويق والمبيعات,بورسعيد - الشرق,19,787398,90758.55
2023,Q1,التسويق والمبيعات,دمياط - دمياط الجديدة,38,1240548,95308.72
2023,Q1,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,61,2655147,140055.8
2023,Q1,العمليات وسلاسل الإمداد,سموحة,62,2265852,261236.37
2023,Q1,العمليات وسلاسل الإمداد,الإسكندرية - لوران,61,3226656,175774.27
2023,Q1,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,18,828360,82453.75
2023,Q1,العمليات وسلاسل الإمداد,الجيزة - الدقي,48,2012400,157985.62
2023,Q1,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,53,2335233,219496.24
2023,Q1,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,63,3270267,278812.76
2023,Q1,العمليات وسلاسل الإمداد,الغربية - طنطا,22,907566,48989.5
2023,Q1,العمليات وسلاسل الإمداد,فرع التجمع,17,494853,57878.02
2023,Q1,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,48,2364048,273931.39
2023,Q1,العمليات وسلاسل الإمداد,فرع المعادي,49,1453830,112224.5
2023,Q1,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,79,3258987,192941.3
2023,Q1,العمليات وسلاسل الإمداد,الشرق,43,1690803,193183.11
2023,Q1,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,34,1461048,131051.91
2023,Q1,الموارد البشرية,أسيوط - أسيوط الجديدة,75,3685500,392513.82
2023,Q1,الموارد البشرية,الإسكندرية - سموحة,36,1646676,123505.28
2023,Q1,الموارد البشرية,لوران,29,945603,92260.14
2023,Q1,الموارد البشرية,الجيزة - 6 أكتوبر,48,1931904,216903.14
2023,Q1,الموارد البشرية,الدقي,80,2400000,131686.55
2023,Q1,الموارد البشرية,الجيزة - الشيخ زايد,65,2572245,162403.3
2023,Q1,الموارد البشرية,الدقهلية - المنصورة,30,1590210,188055.33
2023,Q1,الموارد البشرية,الغربية - طنطا,22,1138632,84003.99
2023,Q1,الموارد البشرية,التجمع,57,2498310,262833.12
2023,Q1,الموارد البشرية,القاهرة - القرية الذكية,23,888858,51026.69
2023,Q1,الموارد البشرية,فرع المعادي,27,1178550,104305.08
2023,Q1,الموارد البشرية,القاهرة - مصر الجديدة,26,1285440,108780.68
2023,Q1,الموارد البشرية,الشرق,58,2481066,126590.9
2023,Q1,الموارد البشرية,دمياط - دمياط الجديدة,47,2446914,245522.9
2023,Q1,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,16,614112,58579.01
2023,Q1,تكنولوجيا المعلومات,سموحة,23,1180590,96461.93
2023,Q1,تكنولوجيا المعلومات,الإسكندرية - لوران,16,594864,44791.39
2023,Q1,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,50,1622250,157393.29
2023,Q1,تكنولوجيا المعلومات,فرع الدقي,15,765990,81870.32
2023,Q1,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,78,3285126,175753.19
2023,Q1,تكنولوجيا المعلومات,المنصورة,70,3756690,362968.64
2023,Q1,تكنولوجيا المعلومات,الغربية - طنطا,74,3206568,238365.99
2023,Q1,تكنولوجيا المعلومات,القاهرة - التجمع الخامس,54,1499634,110666.82
2023,Q1,تكنولوجيا المعلومات,القاهرة - القرية الذكية,60,2475540,132915.04
2023,Q1,تكنولوجيا المعلومات,المعادي,78,2232126,162424.75
2023,Q1,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,78,3870126,419325.62
2023,Q1,تكنولوجيا المعلومات,الشرق,59,2556588,294337.41
2023,Q1,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,80,2479440,142070.25
2023,Q1,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,56,2974104,324474.69
2023,Q1,خدمة العملاء والعمليات المساندة,سموحة,19,575187,64864.5
2023,Q1,خدمة العملاء والعمليات المساندة,الإسكندرية - لوران,71,3724092,217705.5
2023,Q1,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,37,1468974,106103.35
2023,Q1,خدمة العملاء والعمليات المساندة,الدقي,34,1602114,81805.77
2023,Q1,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,70,3711120,394476.73
2023,Q1,خدمة العملاء والعمليات المساندة,المنصورة,55,2887830,274143.69
2023,Q1,خدمة العملاء والعمليات المساندة,الغربية - طنطا,42,1216278,138434.47
2023,Q1,خدمة العملاء والعمليات المساندة,فرع التجمع,49,2054031,166922.17
2023,Q1,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,42,1960560,123426.49
2023,Q1,خدمة العملاء والعمليات المساندة,فرع المعادي,22,1026300,80575.2
2023,Q1,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,17,900303,81971.98
2023,Q1,خدمة العملاء والعمليات المساندة,الشرق,77,3165855,343719.92
2023,Q1,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,67,3385644,389016.58
2023,Q2,الإدارة المالية,أسيوط - أسيوط الجديدة,54,2614356,164577.68
2023,Q2,الإدارة المالية,الإسكندرية - سموحة,71,2151939,242173.1
2023,Q2,الإدارة المالية,الإسكندرية - لوران,65,2958150,149586.01
2023,Q2,الإدارة المالية,الجيزة - 6 أكتوبر,77,2815197,329263.78
2023,Q2,الإدارة المالية,الدقي,39,1649466,168160.03
2023,Q2,الإدارة المالية,الجيزة - الشيخ زايد,51,2463147,162012.7
2023,Q2,الإدارة المالية,الدقهلية - المنصورة,73,3473340,242041.16
2023,Q2,الإدارة المالية,الغربية - طنطا,66,1791702,138829.03
2023,Q2,الإدارة المالية,التجمع,41,1515606,128114.68
2023,Q2,الإدارة المالية,القاهرة - القرية الذكية,48,1526832,83624.82
2023,Q2,الإدارة المالية,القاهرة - المعادي,26,1338948,126602.77
2023,Q2,الإدارة المالية,القاهرة - مصر الجديدة,50,1864350,141364.79
2023,Q2,الإدارة المالية,الشرق,65,3164070,357890.25
2023,Q2,الإدارة المالية,دمياط - دمياط الجديدة,50,1830600,91994.81
2023,Q2,التسويق والمبيعات,أسيوط - أسيوط الجديدة,32,1019424,73148.7
2023,Q2,التسويق والمبيعات,سموحة,58,2076342,108863.53
2023,Q2,التسويق والمبيعات,الإسكندرية - لوران,43,2299425,148715.85
2023,Q2,التسويق والمبيعات,الجيزة - 6 أكتوبر,53,1991952,184014.98
2023,Q2,التسويق والمبيعات,الجيزة - الدقي,28,1041264,71374.11
2023,Q2,التسويق والمبيعات,الجيزة - الشيخ زايد,66,2518758,172103.74
2023,Q2,التسويق والمبيعات,الدقهلية - المنصورة,75,3539475,314359.68
2023,Q2,التسويق والمبيعات,الغربية - طنطا,75,3416400,227310.8
2023,Q2,التسويق والمبيعات,التجمع,59,1594593,85317.9
2023,Q2,التسويق والمبيعات,القاهرة - القرية الذكية,66,3170772,163130.34
2023,Q2,التسويق والمبيعات,فرع المعادي,54,1750086,183452.26
2023,Q2,التسويق والمبيعات,القاهرة - مصر الجديدة,42,1869210,210292.79
2023,Q2,التسويق والمبيعات,الشرق,36,1251072,142712.09
2023,Q2,التسويق والمبيعات,دمياط - دمياط الجديدة,71,3404379,287371.9
2023,Q2,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,50,2415000,263878.84
2023,Q2,العمليات وسلاسل الإمداد,سموحة,40,1909440,190162.8
2023,Q2,العمليات وسلاسل الإمداد,الإسكندرية - لوران,63,1733319,190470.4
2023,Q2,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,31,1623129,82120.59
2023,Q2,العمليات وسلاسل الإمداد,فرع الدقي,36,987984,90927.38
2023,Q2,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,70,2039310,217826.93
2023,Q2,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,80,2257440,229184.76
2023,Q2,العمليات وسلاسل الإمداد,الغربية - طنطا,52,1716936,154901.98
2023,Q2,العمليات وسلاسل الإمداد,القاهرة - التجمع الخامس,47,1355433,144933.47
2023,Q2,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,71,3357945,288325.74
2023,Q2,العمليات وسلاسل الإمداد,المعادي,73,3873015,224019.47
2023,Q2,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,75,3366675,240675.29
2023,Q2,العمليات وسلاسل الإمداد,بورسعيد - الشرق,31,1380957,127599.02
2023,Q2,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,44,2005872,127548.36
2023,Q2,الموارد البشرية,أسيوط - أسيوط الجديدة,60,3234420,309172.52
2023,Q2,الموارد البشرية,الاسكندرية سموحة,41,2098749,231796.34
2023,Q2,الموارد البشرية,لوران,26,788658,80051.06
2023,Q2,الموارد البشرية,الجيزة - 6 أكتوبر,79,4162905,296827.03
2023,Q2,الموارد البشرية,فرع الدقي,41,1216101,87002.41
2023,Q2,الموارد البشرية,الجيزة - الشيخ زايد,15,739305,37144.93
2023,Q2,الموارد البشرية,الدقهلية - المنصورة,69,3140190,228355.68
2023,Q2,الموارد البشرية,الغربية - طنطا,79,3089769,314952.69
2023,Q2,الموارد البشرية,التجمع,33,1335213,150084.38
2023,Q2,الموارد البشرية,القاهرة - القرية الذكية,45,1497420,133867.72
2023,Q2,الموارد البشرية,المعادي,47,1345140,141352.72
2023,Q2,الموارد البشرية,القاهرة - مصر الجديدة,79,3234576,170078.64
2023,Q2,الموارد البشرية,بورسعيد - الشرق,18,814860,43049.65
2023,Q2,الموارد البشرية,دمياط - دمياط الجديدة,63,2660364,294016.48
2023,Q2,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,51,2326671,265238.46
2023,Q2,تكنولوجيا المعلومات,الاسكندرية سموحة,35,1187025,93311.8
2023,Q2,تكنولوجيا المعلومات,لوران,38,1032954,95715.92
2023,Q2,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,15,639450,65174.64
2023,Q2,تكنولوجيا المعلومات,فرع الدقي,70,3441690,200508.04
2023,Q2,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,30,1189440,92435.29
2023,Q2,تكنولوجيا المعلومات,المنصورة,67,2589081,193663.56
2023,Q2,تكنولوجيا المعلومات,الغربية - طنطا,34,1201560,136819.1
2023,Q2,تكنولوجيا المعلومات,فرع التجمع,63,2595915,213576.02
2023,Q2,تكنولوجيا المعلومات,القاهرة - القرية الذكية,42,2188368,186966.62
2023,Q2,تكنولوجيا المعلومات,القاهرة - المعادي,72,2615976,293048.97
2023,Q2,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,55,1850310,180991.49
2023,Q2,تكنولوجيا المعلومات,الشرق,76,3995244,280202.63
2023,Q2,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,26,1045200,60667.63
2023,Q2,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,24,839736,93132.8
2023,Q2,خدمة العملاء والعمليات المساندة,سموحة,78,3879954,255106.86
2023,Q2,خدمة العملاء والعمليات المساندة,لوران,70,3607380,227620.76
2023,Q2,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,36,1065204,87340.83
2023,Q2,خدمة العملاء والعمليات المساندة,فرع الدقي,49,1461180,153333.75
2023,Q2,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,62,2583354,143808.99
2023,Q2,خدمة العملاء والعمليات المساندة,الدقهلية - المنصورة,27,1206738,117933.27
2023,Q2,خدمة العملاء والعمليات المساندة,الغربية - طنطا,57,1877238,124337.55
2023,Q2,خدمة العملاء والعمليات المساندة,التجمع,37,1166055,73180.93
2023,Q2,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,46,1872522,121438.0
2023,Q2,خدمة العملاء والعمليات المساندة,فرع المعادي,38,1059516,105378.34
2023,Q2,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,59,2093379,219572.74
2023,Q2,خدمة العملاء والعمليات المساندة,الشرق,52,1766388,209926.78
2023,Q2,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,34,1029690,119511.72
2023,Q3,الإدارة المالية,أسيوط - أسيوط الجديدة,17,794580,74097.2
2023,Q3,الإدارة المالية,الاسكندرية سموحة,62,1713990,190392.96
2023,Q3,الإدارة المالية,لوران,77,3894198,222130.27
2023,Q3,الإدارة المالية,الجيزة - 6 أكتوبر,56,2820720,165447.49
2023,Q3,الإدارة المالية,فرع الدقي,20,562980,55939.98
2023,Q3,الإدارة المالية,الجيزة - الشيخ زايد,63,3362499,280485.26
2023,Q3,الإدارة المالية,المنصورة,25,976575,110793.8
2023,Q3,الإدارة المالية,الغربية - طنطا,59,1990365,154607.25
2023,Q3,الإدارة المالية,فرع التجمع,76,3991596,229386.8
2023,Q3,الإدارة المالية,القاهرة - القرية الذكية,40,1680480,132435.01
2023,Q3,الإدارة المالية,فرع المعادي,78,3469986,387079.89
2023,Q3,الإدارة المالية,القاهرة - مصر الجديدة,76,2416800,248893.82
2023,Q3,الإدارة المالية,بورسعيد - الشرق,49,2037126,195412.4
2023,Q3,الإدارة المالية,دمياط - دمياط الجديدة,45,1470015,130274.88
2023,Q3,التسويق والمبيعات,أسيوط - أسيوط الجديدة,39,2104596,201142.91
2023,Q3,التسويق والمبيعات,الإسكندرية - سموحة,76,3088032,241180.83
2023,Q3,التسويق والمبيعات,الإسكندرية - لوران,61,2882067,252637.37
2023,Q3,التسويق والمبيعات,الجيزة - 6 أكتوبر,80,4036560,353883.33
2023,Q3,التسويق والمبيعات,الدقي,74,3754908,401508.0
2023,Q3,التسويق والمبيعات,الجيزة - الشيخ زايد,15,440505,27772.14
2023,Q3,التسويق والمبيعات,الدقهلية - المنصورة,28,1449252,85711.08
2023,Q3,التسويق والمبيعات,الغربية - طنطا,26,899262,87860.11
2023,Q3,التسويق والمبيعات,فرع التجمع,71,2636727,237252.86
2023,Q3,التسويق والمبيعات,القاهرة - القرية الذكية,19,959367,80871.15
2023,Q3,التسويق والمبيعات,المعادي,27,1145178,87856.32
2023,Q3,التسويق والمبيعات,القاهرة - مصر الجديدة,26,881712,88308.21
2023,Q3,التسويق والمبيعات,بورسعيد - الشرق,77,2240469,255990.52
2023,Q3,التسويق والمبيعات,دمياط - دمياط الجديدة,25,870375,50142.68
2023,Q3,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,72,3784536,227329.36
2023,Q3,العمليات وسلاسل الإمداد,الإسكندرية - سموحة,63,2194479,121810.26
2023,Q3,العمليات وسلاسل الإمداد,الإسكندرية - لوران,31,1185564,115817.25
2023,Q3,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,58,2294886,156994.26
2023,Q3,العمليات وسلاسل الإمداد,الجيزة - الدقي,68,2534904,214740.62
2023,Q3,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,38,1529652,132256.81
2023,Q3,العمليات وسلاسل الإمداد,المنصورة,54,1680426,157236.23
2023,Q3,العمليات وسلاسل الإمداد,الغربية - طنطا,47,1292688,124186.19
2023,Q3,العمليات وسلاسل الإمداد,التجمع,43,2121921,142314.41
2023,Q3,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,67,3210573,329890.39
2023,Q3,العمليات وسلاسل الإمداد,فرع المعادي,64,3443328,206806.87
2023,Q3,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,68,2475744,256909.11
2023,Q3,العمليات وسلاسل الإمداد,بورسعيد - الشرق,58,1810470,142602.79
2023,Q3,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,49,2402568,163188.59
2023,Q3,الموارد البشرية,أسيوط - أسيوط الجديدة,16,578208,42548.0
2023,Q3,الموارد البشرية,الإسكندرية - سموحة,68,3077136,367230.33
2023,Q3,الموارد البشرية,الإسكندرية - لوران,24,832464,56150.95
2023,Q3,الموارد البشرية,الجيزة - 6 أكتوبر,70,3740730,405583.98
2023,Q3,الموارد البشرية,الدقي,19,713127,52040.07
2023,Q3,الموارد البشرية,الجيزة - الشيخ زايد,60,1636920,164844.72
2023,Q3,الموارد البشرية,المنصورة,68,3109164,248665.67
2023,Q3,الموارد البشرية,الغربية - طنطا,42,2067912,215267.73
2023,Q3,الموارد البشرية,القاهرة - التجمع الخامس,29,1133871,114649.91
2023,Q3,الموارد البشرية,القاهرة - القرية الذكية,54,2725326,196068.79
2023,Q3,الموارد البشرية,فرع المعادي,68,3020220,261294.98
2023,Q3,الموارد البشرية,القاهرة - مصر الجديدة,35,1670760,167266.06
2023,Q3,الموارد البشرية,بورسعيد - الشرق,70,2208570,211138.85
2023,Q3,الموارد البشرية,دمياط - دمياط الجديدة,54,2316600,199684.54
2023,Q3,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,29,1410009,137078.78
2023,Q3,تكنولوجيا المعلومات,الاسكندرية سموحة,75,3040200,281609.48
2023,Q3,تكنولوجيا المعلومات,لوران,62,2599350,178161.14
2023,Q3,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,80,2957280,193781.85
2023,Q3,تكنولوجيا المعلومات,الجيزة - الدقي,60,1707120,153107.82
2023,Q3,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,75,3458700,188861.46
2023,Q3,تكنولوجيا المعلومات,المنصورة,78,2763306,323351.86
2023,Q3,تكنولوجيا المعلومات,الغربية - طنطا,79,3679899,222682.78
2023,Q3,تكنولوجيا المعلومات,التجمع,64,2906880,293853.93
2023,Q3,تكنولوجيا المعلومات,القاهرة - القرية الذكية,60,2812860,294448.44
2023,Q3,تكنولوجيا المعلومات,المعادي,76,2792316,269508.39
2023,Q3,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,32,1533984,117688.7
2023,Q3,تكنولوجيا المعلومات,بورسعيد - الشرق,44,1199088,83822.71
2023,Q3,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,71,3730908,287142.31
2023,Q3,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,54,2176794,122601.31
2023,Q3,خدمة العملاء والعمليات المساندة,الإسكندرية - سموحة,52,1695720,171944.37
2023,Q3,خدمة العملاء والعمليات المساندة,الإسكندرية - لوران,50,1494600,168410.16
2023,Q3,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,73,2150799,219680.17
2023,Q3,خدمة العملاء والعمليات المساندة,الجيزة - الدقي,21,1038303,85958.86
2023,Q3,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,37,1397046,99896.77
2023,Q3,خدمة العملاء والعمليات المساندة,المنصورة,62,3283272,257282.08
2023,Q3,خدمة العملاء والعمليات المساندة,الغربية - طنطا,54,1590192,160873.48
2023,Q3,خدمة العملاء والعمليات المساندة,التجمع,41,1816464,149950.38
2023,Q3,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,37,1097679,72797.31
2023,Q3,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,71,2361957,126276.32
2023,Q3,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,52,2097264,196239.83
2023,Q3,خدمة العملاء والعمليات المساندة,الشرق,68,3349680,378635.38
2023,Q3,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,20,777840,78169.56
2023,Q4,الإدارة المالية,أسيوط - أسيوط الجديدة,44,1941984,116947.29
2023,Q4,الإدارة المالية,الاسكندرية سموحة,79,2395833,189701.35
2023,Q4,الإدارة المالية,الإسكندرية - لوران,72,2244456,263216.46
2023,Q4,الإدارة المالية,الجيزة - 6 أكتوبر,47,2169990,225764.67
2023,Q4,الإدارة المالية,الجيزة - الدقي,79,2201967,233368.9
2023,Q4,الإدارة المالية,الجيزة - الشيخ زايد,42,2065140,232939.14
2023,Q4,الإدارة المالية,الدقهلية - المنصورة,63,1925343,118138.95
2023,Q4,الإدارة المالية,الغربية - طنطا,69,2962998,271239.9
2023,Q4,الإدارة المالية,القاهرة - التجمع الخامس,46,1542702,78645.17
2023,Q4,الإدارة المالية,القاهرة - القرية الذكية,59,1805754,104673.26
2023,Q4,الإدارة المالية,المعادي,18,943650,67803.91
2023,Q4,الإدارة المالية,القاهرة - مصر الجديدة,15,440505,43517.37
2023,Q4,الإدارة المالية,بورسعيد - الشرق,60,2748600,195253.89
2023,Q4,الإدارة المالية,دمياط - دمياط الجديدة,43,1811289,158710.57
2023,Q4,التسويق والمبيعات,أسيوط - أسيوط الجديدة,30,1389870,157090.36
2023,Q4,التسويق والمبيعات,الاسكندرية سموحة,52,1863108,171047.22
2023,Q4,التسويق والمبيعات,الإسكندرية - لوران,23,1190112,93988.96
2023,Q4,التسويق والمبيعات,الجيزة - 6 أكتوبر,30,821520,84888.11
2023,Q4,التسويق والمبيعات,فرع الدقي,43,1872048,151330.51
2023,Q4,التسويق والمبيعات,الجيزة - الشيخ زايد,20,789720,56786.91
2023,Q4,التسويق والمبيعات,الدقهلية - المنصورة,64,2704704,154102.34
2023,Q4,التسويق والمبيعات,الغربية - طنطا,72,2491344,239163.15
2023,Q4,التسويق والمبيعات,التجمع,63,2574936,133966.2
2023,Q4,التسويق والمبيعات,القاهرة - القرية الذكية,49,2414181,262199.9
2023,Q4,التسويق والمبيعات,فرع المعادي,78,3501342,293190.73
2023,Q4,التسويق والمبيعات,القاهرة - مصر الجديدة,77,2286669,265014.23
2023,Q4,التسويق والمبيعات,بورسعيد - الشرق,62,2654034,308096.4
2023,Q4,التسويق والمبيعات,دمياط - دمياط الجديدة,42,1643418,129023.9
2023,Q4,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,25,754275,63943.49
2023,Q4,العمليات وسلاسل الإمداد,الاسكندرية سموحة,70,1955310,109220.47
2023,Q4,العمليات وسلاسل الإمداد,لوران,32,1293216,104774.57
2023,Q4,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,42,2012094,167201.97
2023,Q4,العمليات وسلاسل الإمداد,فرع الدقي,76,2618124,196563.05
2023,Q4,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,48,1698192,156126.4
2023,Q4,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,68,3372528,209886.95
2023,Q4,العمليات وسلاسل الإمداد,الغربية - طنطا,18,891486,74472.5
2023,Q4,العمليات وسلاسل الإمداد,فرع التجمع,29,1427496,108996.7
2023,Q4,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,33,1189188,79666.27
2023,Q4,العمليات وسلاسل الإمداد,القاهرة - المعادي,61,1817556,101549.78
2023,Q4,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,71,3282330,260694.21
2023,Q4,العمليات وسلاسل الإمداد,الشرق,55,2876115,281609.48
2023,Q4,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,63,1874124,160329.4
2023,Q4,الموارد البشرية,أسيوط - أسيوط الجديدة,65,3359265,228551.13
2023,Q4,الموارد البشرية,سموحة,72,2985120,290207.69
2023,Q4,الموارد البشرية,الإسكندرية - لوران,38,1259130,110228.48
2023,Q4,الموارد البشرية,الجيزة - 6 أكتوبر,70,3713010,396072.18
2023,Q4,الموارد البشرية,الجيزة - الدقي,52,2732184,205365.78
2023,Q4,الموارد البشرية,الجيزة - الشيخ زايد,47,2328333,166822.35
2023,Q4,الموارد البشرية,الدقهلية - المنصورة,33,1669635,172619.33
2023,Q4,الموارد البشرية,الغربية - طنطا,69,3102309,175293.43
2023,Q4,الموارد البشرية,التجمع,35,1388835,100494.12
2023,Q4,الموارد البشرية,القاهرة - القرية الذكية,19,540987,44723.3
2023,Q4,الموارد البشرية,المعادي,33,1718343,91469.21
2023,Q4,الموارد البشرية,القاهرة - مصر الجديدة,71,2895948,157268.88
2023,Q4,الموارد البشرية,الشرق,68,1871088,136539.32
2023,Q4,الموارد البشرية,دمياط - دمياط الجديدة,63,2293704,209485.91
2023,Q4,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,68,1965336,197519.86
2023,Q4,تكنولوجيا المعلومات,الإسكندرية - سموحة,47,1498830,176182.72
2023,Q4,تكنولوجيا المعلومات,الإسكندرية - لوران,17,465732,42490.94
2023,Q4,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,19,998526,112515.06
2023,Q4,تكنولوجيا المعلومات,الدقي,25,1302825,118894.72
2023,Q4,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,35,1696800,95835.05
2023,Q4,تكنولوجيا المعلومات,المنصورة,50,2384100,182309.17
2023,Q4,تكنولوجيا المعلومات,الغربية - طنطا,60,2389140,149138.94
2023,Q4,تكنولوجيا المعلومات,التجمع,28,1420860,79699.98
2023,Q4,تكنولوجيا المعلومات,القاهرة - القرية الذكية,51,1543464,148881.84
2023,Q4,تكنولوجيا المعلومات,القاهرة - المعادي,15,796140,76268.91
